Generation,Bot A,Bot B,Score A,Score B,Winner
4,JustinBot,TitForTat,811,851,TitForTat
4,TitForTat,TitForTat,737,737,Draw
4,TitForTat,TitForTat,746,746,Draw
4,TitForTat,TitForTat,775,770,TitForTat
5,JustinBot,JustinBot,872,872,Draw
5,JustinBot,JustinBot,848,878,JustinBot
5,JustinBot,JustinBot,873,858,JustinBot
5,JustinBot,GenerousTitForTat,866,866,Draw
5,JustinBot,GenerousTitForTat,822,852,GenerousTitForTat
5,JustinBot,GenerousTitForTat,863,858,JustinBot
5,JustinBot,GenerousTitForTat,857,867,GenerousTitForTat
5,JustinBot,TitForTat,849,889,TitForTat
5,JustinBot,TitForTat,865,890,TitForTat
5,JustinBot,TitForTat,839,879,TitForTat
5,JustinBot,TitForTat,861,896,TitForTat
5,JustinBot,JustinBot,868,878,JustinBot
5,JustinBot,JustinBot,840,850,JustinBot
5,JustinBot,GenerousTitForTat,871,881,GenerousTitForTat
5,JustinBot,GenerousTitForTat,839,884,GenerousTitForTat
5,JustinBot,GenerousTitForTat,874,879,GenerousTitForTat
5,JustinBot,GenerousTitForTat,856,861,GenerousTitForTat
5,JustinBot,TitForTat,822,872,TitForTat
5,JustinBot,TitForTat,833,868,TitForTat
5,JustinBot,TitForTat,856,886,TitForTat
5,JustinBot,TitForTat,842,877,TitForTat
5,JustinBot,JustinBot,854,879,JustinBot
5,JustinBot,GenerousTitForTat,862,872,GenerousTitForTat
5,JustinBot,GenerousTitForTat,823,863,GenerousTitForTat
5,JustinBot,GenerousTitForTat,840,865,GenerousTitForTat
5,JustinBot,GenerousTitForTat,822,882,GenerousTitForTat
5,JustinBot,TitForTat,850,875,TitForTat
5,JustinBot,TitForTat,808,848,TitForTat
5,JustinBot,TitForTat,837,852,TitForTat
5,JustinBot,TitForTat,821,856,TitForTat
5,JustinBot,GenerousTitForTat,847,887,GenerousTitForTat
5,JustinBot,GenerousTitForTat,854,884,GenerousTitForTat
5,JustinBot,GenerousTitForTat,863,883,GenerousTitForTat
5,JustinBot,GenerousTitForTat,833,873,GenerousTitForTat
5,JustinBot,TitForTat,830,860,TitForTat
5,JustinBot,TitForTat,846,886,TitForTat
5,JustinBot,TitForTat,848,893,TitForTat
5,JustinBot,TitForTat,821,871,TitForTat
5,GenerousTitForTat,GenerousTitForTat,850,840,GenerousTitForTat
5,GenerousTitForTat,GenerousTitForTat,824,819,GenerousTitForTat
5,GenerousTitForTat,GenerousTitForTat,810,795,GenerousTitForTat
5,GenerousTitForTat,TitForTat,781,801,TitForTat
5,GenerousTitForTat,TitForTat,771,781,TitForTat
5,GenerousTitForTat,TitForTat,835,860,TitForTat
5,GenerousTitForTat,TitForTat,798,823,TitForTat
5,GenerousTitForTat,GenerousTitForTat,832,812,GenerousTitForTat
5,GenerousTitForTat,GenerousTitForTat,789,779,GenerousTitForTat
5,GenerousTitForTat,TitForTat,720,735,TitForTat
5,GenerousTitForTat,TitForTat,766,786,TitForTat
5,GenerousTitForTat,TitForTat,788,813,TitForTat
5,GenerousTitForTat,TitForTat,718,718,Draw
5,GenerousTitForTat,GenerousTitForTat,852,867,GenerousTitForTat
5,GenerousTitForTat,TitForTat,842,852,TitForTat
5,GenerousTitForTat,TitForTat,730,765,TitForTat
5,GenerousTitForTat,TitForTat,808,828,TitForTat
5,GenerousTitForTat,TitForTat,788,828,TitForTat
5,GenerousTitForTat,TitForTat,731,761,TitForTat
5,GenerousTitForTat,TitForTat,741,756,TitForTat
5,GenerousTitForTat,TitForTat,825,845,TitForTat
5,GenerousTitForTat,TitForTat,774,814,TitForTat
5,TitForTat,TitForTat,758,753,TitForTat
5,TitForTat,TitForTat,744,749,TitForTat
5,TitForTat,TitForTat,688,693,TitForTat
5,TitForTat,TitForTat,684,669,TitForTat
5,TitForTat,TitForTat,733,733,Draw
5,TitForTat,TitForTat,560,560,Draw
6,JustinBot,JustinBot,886,856,JustinBot
6,JustinBot,JustinBot,847,862,JustinBot
6,JustinBot,JustinBot,846,881,JustinBot
6,JustinBot,JustinBot,879,849,JustinBot
6,JustinBot,JustinBot,879,844,JustinBot
6,JustinBot,JustinBot,879,824,JustinBot
6,JustinBot,GenerousTitForTat,835,870,GenerousTitForTat
6,JustinBot,GenerousTitForTat,849,874,GenerousTitForTat
6,JustinBot,GenerousTitForTat,849,859,GenerousTitForTat
6,JustinBot,GenerousTitForTat,847,852,GenerousTitForTat
6,JustinBot,GenerousTitForTat,851,866,GenerousTitForTat
6,JustinBot,GenerousTitForTat,854,884,GenerousTitForTat
6,JustinBot,GenerousTitForTat,876,871,JustinBot
6,JustinBot,JustinBot,860,865,JustinBot
6,JustinBot,JustinBot,862,882,JustinBot
6,JustinBot,JustinBot,867,857,JustinBot
6,JustinBot,JustinBot,867,867,Draw
6,JustinBot,JustinBot,886,851,JustinBot
6,JustinBot,GenerousTitForTat,856,851,JustinBot
6,JustinBot,GenerousTitForTat,859,874,GenerousTitForTat
6,JustinBot,GenerousTitForTat,833,858,GenerousTitForTat
6,JustinBot,GenerousTitForTat,858,878,GenerousTitForTat
6,JustinBot,GenerousTitForTat,867,877,GenerousTitForTat
6,JustinBot,GenerousTitForTat,846,881,GenerousTitForTat
6,JustinBot,GenerousTitForTat,833,838,GenerousTitForTat
6,JustinBot,JustinBot,839,879,JustinBot
6,JustinBot,JustinBot,874,879,JustinBot
6,JustinBot,JustinBot,857,882,JustinBot
6,JustinBot,JustinBot,843,888,JustinBot
6,JustinBot,GenerousTitForTat,828,883,GenerousTitForTat
6,JustinBot,GenerousTitForTat,851,876,GenerousTitForTat
6,JustinBot,GenerousTitForTat,863,868,GenerousTitForTat
6,JustinBot,GenerousTitForTat,861,886,GenerousTitForTat
6,JustinBot,GenerousTitForTat,859,869,GenerousTitForTat
6,JustinBot,GenerousTitForTat,853,878,GenerousTitForTat
6,JustinBot,GenerousTitForTat,819,819,Draw
6,JustinBot,JustinBot,865,875,JustinBot
6,JustinBot,JustinBot,855,840,JustinBot
6,JustinBot,JustinBot,903,858,JustinBot
6,JustinBot,GenerousTitForTat,813,838,GenerousTitForTat
6,JustinBot,GenerousTitForTat,851,886,GenerousTitForTat
6,JustinBot,GenerousTitForTat,858,868,GenerousTitForTat
6,JustinBot,GenerousTitForTat,867,882,GenerousTitForTat
6,JustinBot,GenerousTitForTat,851,866,GenerousTitForTat
6,JustinBot,GenerousTitForTat,857,872,GenerousTitForTat
6,JustinBot,GenerousTitForTat,852,862,GenerousTitForTat
